ID ,TREATMENT_ID ,PRICE ,IS_PAY 
1,1,0,1
2,2,0,1
3,3,0,1
4,4,0,1
5,5,0,1
6,6,0,1
7,7,0,0
8,8,0,1
9,9,0,0
10,10,0,0
11,11,0,1
12,12,0,1
13,13,0,1
14,14,0,1
15,15,0,1
16,16,0,0
17,17,0,1
18,18,0,1
19,19,0,1
20,20,0,1
21,21,0,1
22,22,0,1
23,23,0,1
24,24,0,1
25,25,0,1
26,26,0,1
27,27,0,1
28,28,0,1
29,29,0,1
30,30,0,0
31,31,0,1
32,32,0,1
33,33,0,1
34,34,0,0
35,35,0,0
36,36,0,1
37,37,0,1
38,38,0,1
39,39,0,1
40,40,0,1
41,41,0,0
42,42,0,1
43,43,0,1
44,44,0,1
45,45,0,1
46,46,0,1
47,47,0,1
48,48,0,0
49,49,0,1
50,50,0,1